id_set;clauses;k_sat;n_var;num_clauses
1;[[-4, -2], [1, -5], [-4, 2]];2;5;3
2;[[-5, -4], [-4]];2;5;2
3;[[2], [-1], [4, -3]];2;5;3
4;[[-1], [3], [4]];2;5;3
5;[[3], [-3, 4], [4]];2;5;3
6;[[-1], [-4], [-2, 1]];2;5;3
7;[[-1, -5], [-2], [-5, 2]];2;5;3
8;[[-4, 1], [4], [3]];2;5;3
9;[[-2, -3], [-1], [-3]];2;5;3
10;[[3], [-5]];2;5;2
11;[[2], [-4, 2], [-5, -2]];2;5;3
12;[[-1, 3], [-5, 4], [1]];2;5;3
13;[[4], [2], [2, 3]];2;5;3
14;[[-3], [-2]];2;5;2
15;[[-4], [-3], [-2, 4]];2;5;3
16;[[-1, 3], [-5, -4]];2;5;2
17;[[-1, 3], [3], [-2, -5]];2;5;3
18;[[-1], [3, -2], [-2]];2;5;3
19;[[-1, -3], [1]];2;5;2
20;[[-1, -2], [-5, 1], [-4, -1]];2;5;3
21;[[1, -5], [-3]];2;5;2
22;[[-5, -3], [-2]];2;5;2
23;[[-3, -2], [-4]];2;5;2
24;[[-4, -3], [-1], [-2, 1]];2;5;3
25;[[2, -4], [3, -4], [-5]];2;5;3
26;[[-5], [2]];2;5;2
27;[[2], [1], [3, 2]];2;5;3
28;[[4], [-2, -1]];2;5;2
29;[[3], [-5], [3, -2]];2;5;3
30;[[2], [-2, -1], [1, -4]];2;5;3
31;[[-2, -4], [-3, -2]];2;5;2
32;[[1], [-5]];2;5;2
33;[[-2, -5], [-2]];2;5;2
34;[[2, 4], [1, 2], [-2, 1]];2;5;3
35;[[-3, -1], [-2], [-5]];2;5;3
36;[[-5, -4], [4], [4, 3]];2;5;3
37;[[2, 1], [-5], [1]];2;5;3
38;[[-1, -2], [-1], [-4, 2]];2;5;3
39;[[-2, 3], [2]];2;5;2
40;[[1, -3], [2, -4]];2;5;2
41;[[1, -2], [1, 3], [-2]];2;5;3
42;[[-3, 4], [-3], [2, -4]];2;5;3
43;[[3, 4], [-4]];2;5;2
44;[[-1, 3], [-5]];2;5;2
45;[[1, -3], [1, 3]];2;5;2
46;[[4], [-3], [-2]];2;5;3
47;[[-1, -3], [2], [1]];2;5;3
48;[[-5, -4], [3, -1], [-1, -2]];2;5;3
49;[[-3, 4], [3]];2;5;2
50;[[-5, -1], [-5], [-4]];2;5;3
51;[[1, 2], [-1], [-1, -3]];2;5;3
52;[[3, -5], [-1], [-4]];2;5;3
53;[[-2], [2, -4], [-4, -1]];2;5;3
54;[[1], [3], [2, -4]];2;5;3
55;[[3], [2]];2;5;2
56;[[4, -2], [-1]];2;5;2
57;[[4, 1], [4], [-1]];2;5;3
58;[[-4], [-5, 3]];2;5;2
59;[[3, -1], [3, -4], [-5, -2]];2;5;3
60;[[3, -1], [1], [-4]];2;5;3
61;[[4], [4, 2], [-5, 3]];2;5;3
62;[[-4], [-5], [1]];2;5;3
63;[[-2, -1], [-4]];2;5;2
64;[[4], [-5, -2]];2;5;2
65;[[2], [4, 2]];2;5;2
66;[[-3, 4], [-3], [-5, -1]];2;5;3
67;[[-1], [1, -3], [-3]];2;5;3
68;[[-2, 3], [-4]];2;5;2
69;[[-4], [-2]];2;5;2
70;[[-1], [4, -2]];2;5;2
71;[[1, -4], [-4, -3], [-3, -1]];2;5;3
72;[[3, -4], [-1], [2, -3]];2;5;3
73;[[-2, -1], [-3, 2], [1, -5]];2;5;3
74;[[-5, 3], [-2, 4]];2;5;2
75;[[4], [1], [3]];2;5;3
76;[[-3], [2, 1], [1]];2;5;3
77;[[-5, -2], [-2], [-5]];2;5;3
78;[[-4, -3], [3], [1, -4]];2;5;3
79;[[-5, -1], [-2, -1], [2, -1]];2;5;3
80;[[-1], [1, -4], [-3, -2]];2;5;3
81;[[-1, 3], [4]];2;5;2
82;[[-1, -5], [4, 3], [3]];2;5;3
83;[[-2, -4], [3], [-5, -4]];2;5;3
84;[[-4, 2], [-5, -2]];2;5;2
85;[[-4], [-2, 3], [3, -5]];2;5;3
86;[[3], [4]];2;5;2
