id_set;clauses;k_sat;n_var;num_clauses
1;[[-5, 2, 4], [3], [3, 4]];3;5;3
2;[[-4, 2, -5], [-2, -1], [-3, 1, 2]];3;5;3
3;[[3, -5, -1], [-2], [-5, -2, 1]];3;5;3
4;[[1, 2, -4], [2], [-3, -4, -2]];3;5;3
5;[[-5, 2, -3], [-3], [-5]];3;5;3
6;[[3, -4, -5], [4, 2]];3;5;2
7;[[3, -2, -1], [4, 2]];3;5;2
8;[[3, 1, -2], [-3, -4], [2]];3;5;3
9;[[-4, 3], [2, 4]];3;5;2
10;[[-2, 3], [-5]];3;5;2
11;[[-1], [4, -3, -1], [-2]];3;5;3
12;[[2, -5, 3], [4]];3;5;2
13;[[3], [3, 4], [-1]];3;5;3
14;[[2, 1, -5], [-4, -1, -3]];3;5;2
15;[[3, 1], [-4, -2, -5]];3;5;2
16;[[-2, -3], [-4, 1, 3]];3;5;2
17;[[2, 3], [1, 4, -2], [2, 1, -5]];3;5;3
18;[[-3, 4], [1], [2, 3, -1]];3;5;3
19;[[4], [1], [2, -3]];3;5;3
20;[[1, 2], [2, -3, -4], [-4, 2, -1]];3;5;3
21;[[3, -4], [-2, -4], [-4, 1]];3;5;3
22;[[1], [4]];3;5;2
23;[[2, -4, 3], [-5, -2, 4], [-1]];3;5;3
24;[[-2], [-1]];3;5;2
25;[[-3, 2], [1, 3, 4], [-4, 2]];3;5;3
26;[[1], [2, -3, 4], [-4, -3, 1]];3;5;3
27;[[-3], [-1, -4]];3;5;2
28;[[-4, -3], [3]];3;5;2
29;[[-1, -5], [-3, -4, 2], [-3]];3;5;3
30;[[-1, 2], [4, 1], [3]];3;5;3
31;[[-1, 4], [1]];3;5;2
32;[[-3], [-2]];3;5;2
33;[[1, 4, 3], [-2]];3;5;2
34;[[3, -4], [1], [4, -1]];3;5;3
35;[[1, -2], [2], [2, -4]];3;5;3
36;[[3], [4, -2], [2, -1, -5]];3;5;3
37;[[-2, -5, -1], [1, 2, -4], [-4, 1]];3;5;3
38;[[-5, 4, -1], [4, 2], [2, 3]];3;5;3
39;[[-5], [3, -5, 1], [3, 4]];3;5;3
40;[[-3, -1], [4, -5, 3], [-4]];3;5;3
41;[[-4, -1], [-3]];3;5;2
42;[[1, -3, 4], [-1, 3, -4]];3;5;2
43;[[-3], [-2], [-4]];3;5;3
44;[[-4, -3], [-5, -4]];3;5;2
45;[[-2], [-3, 4], [1]];3;5;3
46;[[2, 1], [-5, 2], [-5]];3;5;3
47;[[2, -3], [-2]];3;5;2
48;[[3], [1, 4], [2, -3, -4]];3;5;3
49;[[-1], [-5, 1, -4]];3;5;2
50;[[4], [-5]];3;5;2
51;[[-4, 1], [-2]];3;5;2
52;[[4], [-3, -1], [-4, 3]];3;5;3
53;[[-2, -1, 4], [-3, 2], [3, -2]];3;5;3
54;[[2], [-1], [2, -4]];3;5;3
55;[[3], [-4], [-3, 2]];3;5;3
56;[[1, -2, -4], [-1], [2]];3;5;3
57;[[3, -1], [-2, 3, 1]];3;5;2
58;[[3], [-4, -2], [1]];3;5;3
59;[[-4, -1, -3], [-1, -2, -4], [-4, 2, -3]];3;5;3
60;[[-1], [-3], [2, 4, -5]];3;5;3
61;[[1, 2, -3], [-3, -1, 2], [-2, 4]];3;5;3
62;[[-4, 3, -5], [-4, 1, -2], [-4]];3;5;3
63;[[-4], [2, 3]];3;5;2
64;[[1, -3, -5], [2]];3;5;2
65;[[4, -1], [2]];3;5;2
66;[[2], [-3, -1, 2], [4, 2, 3]];3;5;3
67;[[-2, -3, -1], [-2, 3]];3;5;2
68;[[-5, -3], [-5]];3;5;2
69;[[4], [4, -5], [4, -2, 1]];3;5;3
70;[[-2, -5], [-5, -3], [-2, 4]];3;5;3
71;[[-5, -4], [-3], [4, -3]];3;5;3
72;[[3, 1, -5], [-3, -2]];3;5;2
73;[[1, 3, -5], [-3], [-1]];3;5;3
74;[[-2, -5, -1], [-5]];3;5;2
75;[[3, -5], [-4, -1, -3]];3;5;2
76;[[-3, 1], [3, -4], [3, -4, -5]];3;5;3
77;[[2], [2, 4]];3;5;2
78;[[2], [-3, -1], [4, -2]];3;5;3
79;[[4], [3], [-5, -4]];3;5;3
80;[[-3, -4, -1], [-5, -4], [-2, -4]];3;5;3
81;[[2, -3], [-3]];3;5;2
82;[[-5], [-1, 3]];3;5;2
83;[[-3, 4], [4], [-5]];3;5;3
84;[[3, 1], [1]];3;5;2
85;[[-3, -1, -2], [-4, 3, -5]];3;5;2
86;[[1], [-3, 1, 4]];3;5;2
87;[[2], [-5, -2, -1], [-5, -3]];3;5;3
88;[[4], [1, -2], [3, 2, -5]];3;5;3
89;[[-5], [-3]];3;5;2
90;[[-2], [3, 2]];3;5;2
91;[[-3], [-1], [-2]];3;5;3
92;[[1, -5], [-5, 2, 3]];3;5;2
93;[[-4], [-1, 2], [3, 4]];3;5;3
94;[[-2, -3, -4], [1, 4, -3], [2]];3;5;3
95;[[-4, -2], [-5, -2], [-2, -5]];3;5;3
96;[[-3, 1, -2], [3, 4]];3;5;2
97;[[2, -1, -3], [-4, -3]];3;5;2
98;[[-5, -1, -2], [-5], [4, 2]];3;5;3
99;[[-1], [1, -5, -3]];3;5;2
100;[[3, -1], [-5]];3;5;2
101;[[-4], [-2, 3, -4], [-5, 3, -2]];3;5;3
102;[[-3, 2], [-3, 4, 1], [-5]];3;5;3
103;[[3], [-2, -3], [3, 1, 2]];3;5;3
104;[[-2], [1, -4], [3, 1]];3;5;3
105;[[-4], [-5, -1, 2], [2, 4]];3;5;3
106;[[2, 1, 4], [-1, -3]];3;5;2
107;[[-2, 3], [3, -5, 1]];3;5;2
108;[[-5, -2], [2, 3, 1]];3;5;2
109;[[-2, 3, -1], [2, -3]];3;5;2
110;[[-3, -2], [1, -4]];3;5;2
111;[[4, -5, 3], [-2]];3;5;2
112;[[-1], [2], [4, -5]];3;5;3
113;[[4, 1], [-2, -1]];3;5;2
114;[[3], [-5, 4, 2]];3;5;2
115;[[-2], [-4], [-3, 4]];3;5;3
116;[[-1, -5], [-4, 3], [2]];3;5;3
117;[[-5], [1, -2], [-1, 3, 2]];3;5;3
118;[[4, 3, -1], [-1, 4]];3;5;2
119;[[1], [3, -4, -2]];3;5;2
120;[[4, 1, 3], [-3, -4, -1], [-1]];3;5;3
121;[[-4], [-4, 3, -1], [-5]];3;5;3
122;[[-3, -4], [-1], [-4, 3, -1]];3;5;3
123;[[3, 2, -1], [-2, -4, 3], [-5, -4, 2]];3;5;3
124;[[-2], [-1, 4, -5]];3;5;2
125;[[-1], [1, 4]];3;5;2
126;[[3], [-2, 3]];3;5;2
127;[[-1, -5], [-2, 1], [-2]];3;5;3
128;[[2, -3, -4], [3]];3;5;2
129;[[-1], [-3, -4, -2], [3]];3;5;3
130;[[4, 3], [1], [-5, -2]];3;5;3
131;[[-1], [-4, -5, 2], [-2, -4, -1]];3;5;3
132;[[-2, -5], [-3, -2], [3, -2]];3;5;3
133;[[1, -2], [1, -4]];3;5;2
134;[[1, 2], [-2, 1], [-4, 2, -1]];3;5;3
135;[[3], [2]];3;5;2
136;[[-1, -2, -5], [-4], [2]];3;5;3
137;[[-5, 4], [4, -2, 1]];3;5;2
138;[[1, -5, -4], [4, 2]];3;5;2
139;[[1, -5, -4], [-4, -5, 2], [1, 3]];3;5;3
140;[[-5, -4], [3, 1]];3;5;2
141;[[1, -2], [-1, -5, -4]];3;5;2
142;[[4], [-2, -5]];3;5;2
143;[[-3, 4], [2], [-2, 1, 4]];3;5;3
144;[[4], [-5], [4, 3]];3;5;3
145;[[4, 2], [-3, 2, -1], [4]];3;5;3
146;[[-4, 1, 3], [-4, -3], [-1, -2]];3;5;3
147;[[1], [-5], [-1, -2]];3;5;3
148;[[-1], [-2]];3;5;2
149;[[-4, 2, -3], [-3]];3;5;2
150;[[1, -3], [2, -3], [-5]];3;5;3
151;[[-1, -5, 3], [3], [-2, -3]];3;5;3
152;[[-4, 2, 3], [-2, -4, -1], [1, -4, -2]];3;5;3
153;[[-2, 3], [-3, 4]];3;5;2
154;[[-3, 4], [-4, 1, 3]];3;5;2
155;[[4], [-4, -3, -1]];3;5;2
156;[[-5, 2, -4], [-1]];3;5;2
157;[[2], [-4, 2]];3;5;2
158;[[-3, -1, 4], [2], [3, -5, 2]];3;5;3
159;[[3, 4, 1], [1], [1, -4, -2]];3;5;3
160;[[-2], [3, 1], [1, 2]];3;5;3
161;[[-4], [2, -3, -1]];3;5;2
162;[[2], [-1]];3;5;2
163;[[-3, 2], [-2, 4], [3, 4]];3;5;3
164;[[2, -5, -4], [4, 2, 1]];3;5;2
165;[[-2, -4], [-2, 4, -5], [1, -3]];3;5;3
166;[[2, -1], [4]];3;5;2
167;[[2, 4, -3], [-1, 3], [-5, -4]];3;5;3
168;[[2, 1], [-1, -3, -5], [3, 4]];3;5;3
169;[[1, -3], [1, 2, 4], [3, -4, -5]];3;5;3
170;[[-4, 1, -3], [-2, -1]];3;5;2
171;[[3, -4, 1], [-4], [-1, 3]];3;5;3
172;[[4], [2, -5]];3;5;2
173;[[4, -1, -5], [-4, 1, -3], [-3]];3;5;3
174;[[1], [-3, 2], [-5]];3;5;3
175;[[1], [-3, -4, -2]];3;5;2
176;[[4], [4, -3, 1], [-3, 2]];3;5;3
177;[[2], [-4, -3]];3;5;2
178;[[3, -5, -4], [-1]];3;5;2
179;[[3, -1], [-2, 4, -3], [-2]];3;5;3
180;[[4], [-2]];3;5;2
181;[[-5, 1], [3, -2]];3;5;2
182;[[-5], [-1, 2, -5], [1, 4, -2]];3;5;3
183;[[-5, 3], [-2, 3, -4], [-2]];3;5;3
184;[[1], [3], [2]];3;5;3
185;[[-4, 3], [1, 4]];3;5;2
186;[[-1], [-4, 1], [-4, 2]];3;5;3
187;[[4], [-5, 4], [2]];3;5;3
188;[[-5, -1, 3], [-5, -2], [-2, 1, -4]];3;5;3
189;[[-5, -3], [3, 4, 2]];3;5;2
190;[[4, 2, -5], [-2, 1], [-5, -4]];3;5;3
191;[[-5, 1], [1, -3], [-2, -1, -3]];3;5;3
192;[[-5, 2, -3], [2, -1, -3], [-1, -2]];3;5;3
193;[[-1], [-4, 3], [-1, 2, 3]];3;5;3
194;[[-3, 4, -2], [4, 1, 2], [-4]];3;5;3
195;[[-4, -2], [-3, 1]];3;5;2
196;[[-3], [-2, -3, 1]];3;5;2
197;[[3, -2], [2, -4, -3], [-1, 3]];3;5;3
198;[[1, -4, -5], [-2, 3]];3;5;2
199;[[-5, 1, -3], [-4]];3;5;2
