id;id_set;clauses;entailments;is_entail;is_contradict;k_sat;n_var;num_clauses
1;1;[[-4, -2], [1, -5], [-4, 2]];[3, -2];0;0;2;5;3
2;1;[[-4, -2], [1, -5], [-4, 2]];[-3, -1];0;1;2;5;3
3;1;[[-4, -2], [1, -5], [-4, 2]];[1, 4];0;0;2;5;3
4;1;[[-4, -2], [1, -5], [-4, 2]];[-3, -4];1;0;2;5;3
5;1;[[-4, -2], [1, -5], [-4, 2]];[-2, 3];0;0;2;5;3
6;1;[[-4, -2], [1, -5], [-4, 2]];[-4, -2];1;0;2;5;3
7;1;[[-4, -2], [1, -5], [-4, 2]];[-4, -5];1;0;2;5;3
8;1;[[-4, -2], [1, -5], [-4, 2]];[-3, 2];0;1;2;5;3
9;1;[[-4, -2], [1, -5], [-4, 2]];[-4, 1];1;0;2;5;3
10;1;[[-4, -2], [1, -5], [-4, 2]];[-2, -5];1;0;2;5;3
11;1;[[-4, -2], [1, -5], [-4, 2]];[-5, -1];1;0;2;5;3
12;1;[[-4, -2], [1, -5], [-4, 2]];[-1, 2];0;1;2;5;3
13;1;[[-4, -2], [1, -5], [-4, 2]];[-4, 3];1;0;2;5;3
14;1;[[-4, -2], [1, -5], [-4, 2]];[-3, 1];0;1;2;5;3
15;1;[[-4, -2], [1, -5], [-4, 2]];[1, -5];1;0;2;5;3
16;1;[[-4, -2], [1, -5], [-4, 2]];[-1, -3];0;1;2;5;3
17;1;[[-4, -2], [1, -5], [-4, 2]];[1, 2];0;1;2;5;3
18;1;[[-4, -2], [1, -5], [-4, 2]];[3, 2];0;1;2;5;3
19;1;[[-4, -2], [1, -5], [-4, 2]];[1, 3];0;0;2;5;3
20;1;[[-4, -2], [1, -5], [-4, 2]];[-5, 4];1;0;2;5;3
21;2;[[-5, -4], [-4]];[4, -3];0;0;2;5;2
22;2;[[-5, -4], [-4]];[-1, 4];0;0;2;5;2
23;2;[[-5, -4], [-4]];[4, -2];0;0;2;5;2
24;2;[[-5, -4], [-4]];[-2, -3];0;0;2;5;2
25;2;[[-5, -4], [-4]];[1, 3];0;1;2;5;2
26;2;[[-5, -4], [-4]];[1, -5];0;1;2;5;2
27;2;[[-5, -4], [-4]];[1, -3];0;1;2;5;2
28;2;[[-5, -4], [-4]];[-5, 4];0;0;2;5;2
29;2;[[-5, -4], [-4]];[2, -5];0;1;2;5;2
30;2;[[-5, -4], [-4]];[2, -4];1;0;2;5;2
31;2;[[-5, -4], [-4]];[4, 2];0;1;2;5;2
32;2;[[-5, -4], [-4]];[-5, -3];0;0;2;5;2
33;2;[[-5, -4], [-4]];[-4, 2];1;0;2;5;2
34;2;[[-5, -4], [-4]];[3, -1];0;1;2;5;2
35;2;[[-5, -4], [-4]];[4, -5];0;0;2;5;2
36;2;[[-5, -4], [-4]];[-2, 3];0;1;2;5;2
37;2;[[-5, -4], [-4]];[3, 2];0;1;2;5;2
38;2;[[-5, -4], [-4]];[-1, 2];0;1;2;5;2
39;2;[[-5, -4], [-4]];[-2, -1];0;0;2;5;2
40;2;[[-5, -4], [-4]];[1, 4];0;1;2;5;2
41;3;[[2], [-1], [4, -3]];[-3, 4];1;0;2;5;3
42;3;[[2], [-1], [4, -3]];[1, -3];1;0;2;5;3
43;3;[[2], [-1], [4, -3]];[1, 4];0;0;2;5;3
44;3;[[2], [-1], [4, -3]];[2, 1];1;0;2;5;3
45;3;[[2], [-1], [4, -3]];[-5, 2];1;0;2;5;3
46;3;[[2], [-1], [4, -3]];[4, -3];1;0;2;5;3
47;3;[[2], [-1], [4, -3]];[-4, -3];1;0;2;5;3
48;3;[[2], [-1], [4, -3]];[1, -4];0;1;2;5;3
49;3;[[2], [-1], [4, -3]];[3, -2];0;0;2;5;3
50;3;[[2], [-1], [4, -3]];[4, 3];0;0;2;5;3
51;3;[[2], [-1], [4, -3]];[4, -5];0;0;2;5;3
52;3;[[2], [-1], [4, -3]];[-3, 1];1;0;2;5;3
53;3;[[2], [-1], [4, -3]];[2, -1];1;0;2;5;3
54;3;[[2], [-1], [4, -3]];[-2, 1];0;0;2;5;3
55;3;[[2], [-1], [4, -3]];[-4, 1];0;1;2;5;3
56;3;[[2], [-1], [4, -3]];[4, 1];0;0;2;5;3
57;3;[[2], [-1], [4, -3]];[4, -2];0;0;2;5;3
58;3;[[2], [-1], [4, -3]];[-2, 3];0;0;2;5;3
