id_set;clauses;k_sat;n_var;num_clauses
1;[[3], [4, -2], [-5]];2;5;3
2;[[-2], [-3]];2;5;2
3;[[-4, -1], [4, 1]];2;5;2
4;[[-5, -3], [-5]];2;5;2
5;[[3], [-5, 2]];2;5;2
6;[[2], [-5]];2;5;2
7;[[-5], [4], [2]];2;5;3
8;[[3, 2], [2], [-5]];2;5;3
9;[[1], [4, -1]];2;5;2
10;[[-2], [-4]];2;5;2
11;[[4, 1], [-5, 3], [3, 1]];2;5;3
12;[[-1, -2], [-5, -3]];2;5;2
13;[[-4, 3], [1]];2;5;2
14;[[2], [3, -5]];2;5;2
15;[[4, -3], [-1]];2;5;2
16;[[-5, 3], [-3, 2], [-2, -1]];2;5;3
17;[[-2, 1], [3, 2], [4]];2;5;3
18;[[2, -5], [-2]];2;5;2
19;[[-3, -2], [1, 4], [-3, -5]];2;5;3
20;[[-2, -3], [-4, 2], [-4]];2;5;3
21;[[-2], [-1, 2]];2;5;2
22;[[2], [-1, -2]];2;5;2
23;[[4], [-2, -3], [-1, -3]];2;5;3
24;[[3, -1], [-1], [-5]];2;5;3
25;[[-3], [-5], [2]];2;5;3
26;[[-2], [3], [-1]];2;5;3
27;[[-3], [2]];2;5;2
28;[[4, -1], [1, 2], [1]];2;5;3
29;[[-2], [-3], [-5]];2;5;3
30;[[2], [-3, 1]];2;5;2
31;[[-2, -3], [-4, 3], [-4, 1]];2;5;3
32;[[2], [-4, 2], [-1]];2;5;3
33;[[3], [4]];2;5;2
34;[[-4], [-1]];2;5;2
35;[[3, 2], [-3]];2;5;2
36;[[-4], [2], [4, -1]];2;5;3
37;[[3, -1], [-4, -5], [1]];2;5;3
38;[[-2], [-3], [-4]];2;5;3
39;[[-4, 3], [3], [-5]];2;5;3
40;[[-1, -2], [1], [4]];2;5;3
41;[[1], [-2], [-5]];2;5;3
42;[[3, -1], [-4], [2]];2;5;3
43;[[-5], [-2], [-1]];2;5;3
44;[[-4, -1], [-5]];2;5;2
45;[[-5], [-4, -2]];2;5;2
46;[[2, 1], [-3], [-4]];2;5;3
47;[[-3, 1], [-5, -4]];2;5;2
48;[[2, -4], [-2, 3]];2;5;2
49;[[4, -5], [-1, -5]];2;5;2
50;[[3, -1], [2, 4]];2;5;2
51;[[3, -4], [4], [-2, 4]];2;5;3
52;[[-1, -4], [-5], [3, 2]];2;5;3
53;[[3, -2], [-3], [-5, -2]];2;5;3
54;[[-5], [-5, 2]];2;5;2
55;[[-5], [-1]];2;5;2
56;[[4, -3], [2, -1], [1]];2;5;3
57;[[2, -3], [1], [-1, -3]];2;5;3
58;[[-2], [-4, 1], [1]];2;5;3
59;[[-4], [-5, 2], [4, -5]];2;5;3
60;[[-3, 4], [-4]];2;5;2
61;[[-3], [4, -2]];2;5;2
62;[[-5, 1], [-5]];2;5;2
63;[[-3], [1], [-1, -2]];2;5;3
64;[[-3], [3, -4], [-3, -5]];2;5;3
65;[[1, 2], [-2]];2;5;2
66;[[-3], [2, -4], [-4]];2;5;3
67;[[2], [3], [-5, 3]];2;5;3
68;[[1, -3], [1, -5], [2, -4]];2;5;3
69;[[-1], [-2, -1]];2;5;2
70;[[-2], [-3]];2;5;2
71;[[-4, -3], [-2, 3]];2;5;2
72;[[-4], [3]];2;5;2
73;[[2], [3], [2, -5]];2;5;3
74;[[-4], [1]];2;5;2
75;[[-4], [-1, -5]];2;5;2
76;[[3, -1], [4], [-4, -2]];2;5;3
77;[[4, 3], [2], [-5, 4]];2;5;3
78;[[1], [2], [-4]];2;5;3
79;[[3, -5], [-2], [-5]];2;5;3
80;[[-1], [-3, 4]];2;5;2
81;[[4], [1], [2]];2;5;3
82;[[-1], [-5]];2;5;2
83;[[3], [4, 3]];2;5;2
84;[[4], [-2], [4, 3]];2;5;3
85;[[-1, -5], [-3, -2]];2;5;2
86;[[-1], [-5, -1]];2;5;2
87;[[1, 2], [1], [-1, 2]];2;5;3
88;[[-1], [2], [-3, 4]];2;5;3
89;[[4], [-3, -5]];2;5;2
90;[[-3, -5], [1, -3], [-5, 1]];2;5;3
91;[[-3], [3, -4], [-5, 1]];2;5;3
92;[[-5], [4, 2], [1, 3]];2;5;3
93;[[-4, 1], [-4]];2;5;2
94;[[1], [4], [-4, -5]];2;5;3
95;[[3, -4], [-1], [-4, 1]];2;5;3
96;[[1, 3], [3]];2;5;2
97;[[3, -5], [4, -2]];2;5;2
98;[[-4, -3], [-1]];2;5;2
99;[[-1, 4], [-3, -4], [-4]];2;5;3
100;[[-4, -3], [-2, -1], [4, -2]];2;5;3
101;[[-2, 3], [2]];2;5;2
102;[[-5, -4], [1]];2;5;2
103;[[4], [4, 3], [-3]];2;5;3
104;[[1], [-3, -5]];2;5;2
105;[[-5, -3], [3, 2], [-4, -3]];2;5;3
106;[[3], [-2], [4, -2]];2;5;3
107;[[-3, -5], [-1, 3], [-2, -3]];2;5;3
108;[[-2, -4], [-3]];2;5;2
109;[[-3, 2], [3], [-1]];2;5;3
110;[[-1, 4], [-2], [3, 2]];2;5;3
111;[[-5], [1]];2;5;2
112;[[-1, 3], [4, 2], [-1]];2;5;3
113;[[-1, -2], [-5, -4], [4]];2;5;3
114;[[-4], [-1, -4]];2;5;2
115;[[4, 1], [1]];2;5;2
116;[[3], [1], [-2]];2;5;3
117;[[-2], [3, 2], [1, -4]];2;5;3
118;[[1, -4], [1]];2;5;2
119;[[-5, -3], [-4]];2;5;2
120;[[-3, -4], [-5, 1], [-2, 4]];2;5;3
121;[[1], [-3, 2], [2, 3]];2;5;3
122;[[2], [3, 4], [-4]];2;5;3
123;[[1], [-3, -2], [-5, -3]];2;5;3
124;[[3, 4], [-1], [4]];2;5;3
125;[[1, -4], [-1], [-4, -5]];2;5;3
126;[[-3, -4], [-5, -1]];2;5;2
127;[[-4, -2], [3], [-5, 1]];2;5;3
128;[[-2], [-1], [-3, 1]];2;5;3
129;[[3], [4], [2]];2;5;3
130;[[2, 4], [-4, -1], [-1, -5]];2;5;3
131;[[-1, -3], [-3, -1]];2;5;2
132;[[-3], [-5, 3]];2;5;2
133;[[-2], [-3, -2], [1]];2;5;3
134;[[-3, 1], [1, 4], [3, 4]];2;5;3
135;[[-4, -3], [-2, -5], [3, -2]];2;5;3
136;[[-4], [-3, -2], [-3, -5]];2;5;3
137;[[-1, 4], [4]];2;5;2
138;[[-4, -2], [-5, 2]];2;5;2
139;[[-2], [3], [4]];2;5;3
140;[[-5], [-1, 2], [-3, -5]];2;5;3
141;[[-5], [-3, -4]];2;5;2
142;[[-2, 1], [1, 2], [-2, -3]];2;5;3
143;[[4, -3], [3]];2;5;2
144;[[-2, 3], [-2, 1]];2;5;2
145;[[1, 3], [3], [-4, 2]];2;5;3
146;[[-2], [-3]];2;5;2
147;[[-1, -4], [-3]];2;5;2
148;[[-4, -5], [2, 4]];2;5;2
